Customer Identity,First Policy´s Year,Customer Age,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Customer Monetary Value,Claims Rate,Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
167,1995,65,1 - Basic,7234,4,1,493.43,0.52,120.80,599.00,160.14,128.69,80.57
168,1996,75,3 - BSc/MSc,7987,2,0,188.93,0.67,228.60,97.25,284.61,14.67,25.67
169,1977,19,2 - High School,1854,4,1,205.16,0.72,158.03,313.40,245.38,93.13,9.89
170,1988,63,3 - BSc/MSc,6392,3,0,211.84,0.58,249.38,-10.55,311.17,4.78,3.78
171,1984,75,1 - Basic,7831,4,0,455.87,0.40,182.70,274.50,212.93,23.67,106.80
172,1990,27,3 - BSc/MSc,2172,4,1,-165680.42,256.20,378.07,78.90,166.81,6.89,18.45
173,1987,56,2 - High School,5217,4,1,437.31,0.29,342.51,88.35,176.81,7.78,39.23
174,1993,50,2 - High School,5803,2,1,5.34,0.96,256.05,342.85,132.47,40.34,70.68
175,1990,37,4 - PhD,3327,1,1,38.01,0.90,458.31,63.90,99.24,1.89,2.78
176,1977,50,2 - High School,5708,4,1,360.63,0.32,389.85,-5.00,151.03,24.45,5.78
177,1985,48,3 - BSc/MSc,6396,4,0,-57.90,1.05,236.49,88.90,230.82,57.90,63.90
178,1987,53,2 - High School,4206,3,1,453.20,0.28,455.42,78.35,104.13,3.00,19.78
179,1988,40,3 - BSc/MSc,3957,3,1,74.35,0.86,324.06,113.35,216.93,11.67,25.67
180,1984,34,2 - High School,3477,3,0,284.07,0.60,99.02,263.95,158.03,45.12,209.04
181,1980,72,3 - BSc/MSc,6468,3,0,61.13,0.91,162.81,397.85,242.38,76.68,38.45
182,1982,75,2 - High School,8181,1,0,-25.66,1.00,263.05,363.40,220.93,28.56,-0.22
183,1995,25,2 - High School,1652,1,0,133.92,0.86,158.92,634.00,207.26,73.57,23.45
184,1977,43,3 - BSc/MSc,4389,2,1,465.65,0.22,431.86,59.45,129.58,6.89,-0.22
185,1993,32,2 - High School,4837,4,1,-62.23,1.07,,253.95,230.60,5.89,43.12
186,1983,34,3 - BSc/MSc,2039,1,1,426.64,0.27,451.64,53.35,101.02,1.89,14.67
187,1993,17,1 - Basic,2493,2,1,-128.24,1.07,33.23,1026.30,82.57,75.68,212.15
188,1984,34,4 - PhD,3848,4,1,422.99,0.19,461.20,-10.55,92.13,3.89,7.89
189,1977,65,3 - BSc/MSc,6069,3,1,201.82,0.79,233.71,560.65,200.26,6.89,56.01
190,1986,62,3 - BSc/MSc,6113,2,1,9.34,0.94,314.95,24.45,129.58,9.89,120.69
191,1978,45,3 - BSc/MSc,5239,4,1,18.34,0.93,532.88,34.45,29.34,11.89,-1.00
192,1996,22,1 - Basic,2972,2,0,872.07,0.12,106.02,587.90,76.46,22.45,225.60
193,1978,64,3 - BSc/MSc,7087,4,1,436.42,0.25,421.30,34.45,150.14,-6.00,17.67
194,1991,41,4 - PhD,5098,2,1,-25.00,1.00,491.87,39.45,80.35,5.89,6.00
195,1990,38,3 - BSc/MSc,4698,4,1,-101.00,1.14,469.31,-65.00,115.80,,11.00
196,1986,58,3 - BSc/MSc,6230,4,0,379.63,0.39,346.62,68.90,199.37,20.67,31.56
197,1994,73,3 - BSc/MSc,7611,4,1,-51.54,1.05,499.76,-25.55,60.90,22.56,2.00
198,1990,71,4 - PhD,7491,3,0,168.71,0.66,211.93,-5.55,289.50,58.01,12.67
199,1995,61,3 - BSc/MSc,6666,4,1,-30.78,1.01,488.87,8.90,64.68,5.78,7.89
200,1996,58,3 - BSc/MSc,6441,4,1,278.38,0.62,290.39,271.15,195.26,9.89,32.23
201,1989,31,3 - BSc/MSc,3875,1,1,303.09,0.38,390.52,-30.55,167.81,-1.11,-0.11
202,1991,63,1 - Basic,5371,3,1,263.62,0.62,344.73,244.50,128.47,48.01,3.89
203,1989,56,3 - BSc/MSc,5087,4,1,183.26,0.84,163.03,927.40,159.92,45.23,34.34
204,1996,31,2 - High School,3183,3,1,50.90,0.88,185.70,53.35,267.94,67.79,42.01
205,1983,55,2 - High School,5563,1,1,-122.24,1.13,314.28,200.05,134.36,34.23,63.01
206,1976,33,2 - High School,3936,3,1,328.73,0.46,343.62,63.90,170.81,30.34,40.45
207,1978,64,2 - High School,5799,1,0,260.72,0.64,178.59,258.95,240.49,89.46,17.67
208,1997,71,3 - BSc/MSc,7920,3,0,45.02,0.89,313.28,58.35,245.49,11.67,12.89
209,1992,51,2 - High School,6064,4,1,410.86,0.43,263.27,215.60,213.04,24.56,43.01
210,1985,32,2 - High School,1745,1,1,63.35,0.89,181.59,275.60,262.05,-3.00,84.24
211,1984,54,3 - BSc/MSc,4685,1,1,431.33,0.18,508.43,-30.55,65.90,5.78,9.00
212,1993,48,3 - BSc/MSc,4800,4,1,-60.00,1.06,543.77,50.00,39.23,-7.00,-7.00
213,1986,56,3 - BSc/MSc,6165,4,1,496.65,0.21,444.64,84.45,126.69,10.89,-6.11
214,1996,46,1 - Basic,4877,1,1,-146.91,1.21,263.16,-5.00,215.93,48.12,68.79
215,1993,40,4 - PhD,3217,1,1,443.09,0.24,477.09,35.00,101.02,-4.00,3.00
216,1984,49,3 - BSc/MSc,4211,1,1,324.40,0.58,368.96,281.15,139.47,34.45,14.89
217,1992,58,3 - BSc/MSc,5472,3,1,391.20,0.32,382.85,33.35,178.81,14.67,2.00
218,1993,26,3 - BSc/MSc,2725,4,1,312.73,0.45,299.39,39.45,221.93,24.45,23.34
219,1991,49,2 - High School,6024,4,1,57.23,0.88,485.87,94.45,84.46,3.89,-6.11
220,1985,23,2 - High School,2684,4,1,31.01,0.93,189.59,240.60,249.38,56.01,63.90
221,1990,68,2 - High School,8062,1,1,249.05,0.66,320.17,264.50,154.25,11.78,57.90
222,1984,72,4 - PhD,7476,3,1,-25.00,1.00,533.10,84.45,43.12,0.89,5.89
223,1993,45,3 - BSc/MSc,3867,4,1,183.92,0.72,425.86,216.70,87.24,8.89,16.67
224,1983,49,3 - BSc/MSc,3514,4,0,436.53,0.40,436.97,187.80,114.91,5.78,18.78
225,1985,40,2 - High School,5491,1,1,511.54,0.23,401.41,123.35,134.58,12.78,24.56
226,1978,48,3 - BSc/MSc,4937,1,1,-47.00,1.04,532.99,-15.00,47.01,4.00,8.00
227,1977,69,3 - BSc/MSc,7285,2,0,84.02,0.84,317.17,93.35,209.93,34.45,18.78
228,1981,34,2 - High School,3213,4,1,807.72,0.00,333.95,323.40,84.35,44.12,46.90
229,1997,29,3 - BSc/MSc,2217,4,0,-189.25,1.20,247.38,256.15,146.25,106.13,58.12
230,1980,65,3 - BSc/MSc,6452,1,1,279.94,0.54,250.49,54.45,241.49,63.90,48.23
231,1980,69,2 - High School,7623,1,0,-69.12,1.06,267.94,207.25,201.26,44.12,41.23
232,1975,72,2 - High School,7702,3,0,461.99,0.41,183.59,303.40,219.82,18.67,99.24
233,1985,52,2 - High School,5047,4,1,514.32,0.16,443.53,59.45,102.24,16.67,19.67
234,1995,31,2 - High School,3300,1,1,114.36,0.88,139.36,808.50,163.92,63.68,34.34
235,1991,20,1 - Basic,3960,2,1,-13.33,0.99,33.34,406.20,131.69,175.70,164.03
236,1978,54,3 - BSc/MSc,5136,1,1,374.20,0.28,447.53,-30.55,107.91,8.89,17.78
237,1987,68,2 - High School,7145,4,0,752.03,0.27,152.25,579.55,233.71,53.90,45.23
238,1978,52,2 - High School,5848,4,1,293.06,0.65,205.04,403.40,105.02,87.24,113.02
239,1992,44,2 - High School,3777,4,1,549.65,0.43,239.49,501.75,180.70,75.68,2.78
240,1992,68,2 - High School,7011,1,0,564.43,0.33,153.25,335.05,295.61,64.79,36.34
241,1992,46,3 - BSc/MSc,4835,1,1,481.77,0.07,541.77,-35.00,25.45,6.89,3.89
242,1983,30,2 - High School,1284,4,1,381.53,0.49,188.48,273.95,271.83,26.45,29.45
243,1975,64,3 - BSc/MSc,7531,1,0,51.35,0.88,210.15,23.90,253.38,70.79,63.01
244,1985,71,3 - BSc/MSc,7351,4,0,493.09,0.32,301.39,216.70,195.37,50.12,2.78
245,1989,28,3 - BSc/MSc,2414,3,1,161.25,0.75,293.50,177.25,207.26,37.34,28.34
246,1984,23,1 - Basic,1132,3,1,-20.55,1.00,32.23,422.30,302.50,101.24,73.46
247,1990,30,3 - BSc/MSc,3274,2,1,308.73,0.50,311.28,111.70,225.93,20.67,1.78
248,1994,48,3 - BSc/MSc,4778,3,1,557.12,0.00,506.54,3.90,49.01,17.78,4.89
249,1983,34,3 - BSc/MSc,3633,3,1,-58.99,1.06,466.42,-10.55,112.91,12.89,16.89
250,1987,43,4 - PhD,5143,4,1,535.88,0.12,510.54,39.45,73.68,12.89,2.00
251,1991,29,2 - High School,3157,4,1,704.24,0.35,92.46,639.00,248.49,-1.11,139.36
252,1978,36,3 - BSc/MSc,3840,4,1,-25.00,1.00,389.63,68.90,154.25,17.67,23.67
253,1975,48,3 - BSc/MSc,4637,2,1,-20.00,0.99,537.99,55.00,40.12,-1.00,6.00
254,1990,74,3 - BSc/MSc,8747,3,0,348.61,0.46,316.17,99.45,188.59,22.67,64.68
255,1995,32,2 - High School,3806,4,1,7.00,0.95,174.70,142.80,246.27,110.80,22.67
256,1976,72,1 - Basic,7684,1,0,875.63,0.21,181.48,725.15,207.26,14.67,8.67
257,1990,59,4 - PhD,5890,3,1,302.95,0.55,310.17,187.25,197.26,17.78,17.45
258,1991,21,3 - BSc/MSc,760,1,0,1105.42,0.21,50.90,1012.40,221.93,10.78,128.80
259,1996,59,2 - High School,6925,4,1,37.02,0.90,316.28,43.35,234.71,19.56,0.89
260,1984,30,4 - PhD,2402,4,1,455.97,0.35,291.61,162.80,230.71,26.56,29.67
261,1987,46,4 - PhD,5384,4,1,582.11,0.08,537.77,69.45,37.45,-6.00,17.89
262,1992,29,3 - BSc/MSc,2016,3,1,338.84,0.45,222.04,98.35,301.28,44.23,0.78
263,1982,25,1 - Basic,1862,1,1,255.95,0.66,175.70,288.95,180.70,101.24,82.46
264,1980,70,3 - BSc/MSc,6390,4,0,320.97,0.35,345.40,-30.00,156.03,24.45,36.12
265,1994,41,3 - BSc/MSc,5430,4,1,-41.33,1.03,472.20,-25.00,108.02,12.89,-2.11
266,1997,26,3 - BSc/MSc,1762,1,1,1160.88,0.00,163.92,727.35,151.25,66.68,76.68
267,1993,34,3 - BSc/MSc,2563,4,1,572.77,0.11,511.32,99.45,63.90,2.00,-5.00
268,1984,44,2 - High School,4493,3,1,431.42,0.37,428.08,157.80,106.02,22.56,5.78
