cod_cust_id,dt_fpy,atr_cust_age,dsc_edu_deg,amt_gms,atr_gla,flg_children,amt_cmv,rt_cr,amt_plob_motor,amt_plob_household,amt_plob_health,amt_plob_life,amt_plob_wcomp,Set,amt_premium_total,outlier_candidate,atr_edu_deg,atr_fpy_to_date,rt_plob_life,rt_plob_household,rt_plob_motor,rt_plob_health,rt_plob_wcomp,amt_gys,amt_claims_total,rt_premiums_year,rt_claims_year,atr_credit_score_proxy
16,1988,37,3 - BSc/MSc,1947.0,4,1,290.06,0.534017630006508,318.06,93.9,247.49,-3.0,19.67,train,676.12,,3.0,11,-0.004437082174761876,0.13888067207004676,0.47041945216825415,0.36604448914393894,0.02909246879252204,23364.0,361.06000000000023,0.02893853792158877,0.015453689436740295,0
17,1991,27,2 - High School,4873.0,1,1,100.58,0.885720005824112,119.8,647.35,168.92,125.58,37.23,train,1098.88,,2.0,8,0.11427999417588816,0.5890998107163657,0.10902009318578916,0.15372015142690737,0.0338799504950495,58476.0,973.3000000000003,0.018791983035775364,0.016644435323893567,-1
18,1981,46,3 - BSc/MSc,5456.0,4,1,78.91,0.84542722837082,446.64,107.8,86.35,3.89,27.56,train,672.2399999999999,,3.0,18,0.0057866238248244686,0.16035939545400454,0.664405569439486,0.12845114839938118,0.040997262882303945,65472.0,568.3299999999999,0.010267595307917887,0.008680504643206254,0
19,1981,34,1 - Basic,2827.0,3,1,230.38,0.71488858125307,313.17,373.4,121.8,14.78,72.57,train,895.7199999999998,,1.0,18,0.016500692180592153,0.4168713437234851,0.34962934845710725,0.13597999374804629,0.08101862189076944,33924.0,640.3399999999997,0.026403725975710404,0.018875722202570444,0
20,1988,54,4 - PhD,5501.0,1,1,352.96,0.362157418658026,402.41,9.45,125.69,24.45,30.56,train,592.56,,4.0,11,0.04126164439044148,0.01594775212636695,0.6791042257324154,0.21211354124476847,0.05157283650600783,66012.0,214.59999999999985,0.008976549718233048,0.0032509240744107108,0
21,1986,30,4 - PhD,3408.0,4,1,373.73,0.390321100917431,329.84,65.0,221.93,3.89,33.34,train,654.0,,4.0,13,0.005948012232415902,0.09938837920489296,0.5043425076452599,0.33934250764525997,0.05097859327217126,40896.0,255.26999999999987,0.015991784037558684,0.006241930751173705,0
22,1977,58,2 - High School,5201.8,3,1,111.37,0.79777863455721,407.52,111.7,100.13,24.67,30.34,train,674.36,,2.0,22,0.036582834094548905,0.1656385313482413,0.6043063052375586,0.1484815232220179,0.04499080609763331,62421.600000000006,537.9900000000001,0.010803311674164071,0.008618651236110579,0
23,1976,30,2 - High School,2989.0,1,1,-89.7900000000001,1.07804519610677,209.04,308.95,192.48,64.79,54.9,train,830.16,,2.0,23,0.07804519610677461,0.37215717452057434,0.2518068806013299,0.23185891876264816,0.06613183000867302,35868.0,894.9499999999962,0.02314486450317832,0.024951209992193493,0
24,1998,55,2 - High School,5740.0,4,1,290.05,0.642593790060012,222.04,329.5,248.38,48.01,33.56,train,881.49,,2.0,1,0.054464599711851525,0.3737989086660087,0.25189168339969825,0.28177290723661075,0.03807190098583081,68880.0,566.44,0.012797473867595818,0.00822357723577236,0
25,1988,64,3 - BSc/MSc,6401.0,4,0,108.13,0.811077368450928,420.3,128.35,135.58,15.67,4.78,train,704.68,,3.0,11,0.022237043764545612,0.18213941079638984,0.5964409377306011,0.19239938695578138,0.006783220752682069,76812.0,571.55,0.009174087382179867,0.00744089465187731,0
26,1974,72,4 - PhD,7551.0,2,0,376.3,0.40558715487617,383.74,103.9,154.14,17.56,15.78,test,675.12,,4.0,25,0.02601019078089821,0.15389856618082712,0.5684026543429317,0.22831496622822608,0.023373622467116956,90612.0,273.8199999999999,0.007450668785591312,0.003021895554672669,0
27,1978,79,4 - PhD,8562.0,3,0,430.86,0.384172700745704,330.84,162.8,228.82,-5.0,22.78,train,740.24,,4.0,21,-0.006754566086674592,0.21992867178212472,0.44693612882308437,0.30911596239057604,0.03077380309088944,102744.0,284.37999999999994,0.007204702951023904,0.002767850190765397,0
28,1979,74,4 - PhD,7238.0,1,0,-7.22000000000003,0.972609070741928,449.75,58.9,112.91,17.78,9.78,train,649.12,,4.0,20,0.027390929258072468,0.09073823021937392,0.6928611042642346,0.17394318461917674,0.015066551639142223,86856.0,631.3400000000004,0.007473519388413005,0.007268812747536156,0
29,1995,64,3 - BSc/MSc,7277.0,4,0,264.17,0.496324810144221,301.28,18.9,258.05,-4.0,-0.11,train,574.12,,3.0,4,-0.006967184560719013,0.03291994704939734,0.524768341113356,0.4494704939733854,-0.00019159757541977287,87324.0,284.95000000000016,0.006574595758325317,0.0032631349915258137,0
30,1980,44,3 - BSc/MSc,5320.0,3,0,2.0,0.955453630529112,524.21,25.0,54.9,7.0,-5.0,train,606.11,,3.0,19,0.011549058751711735,0.041246638398970484,0.8648760126049727,0.09057761792413918,-0.008249327679794097,63840.0,579.1100000000001,0.00949420426065163,0.009071271929824563,0
31,1988,41,2 - High School,4295.0,4,1,427.76,0.190213017116489,483.09,-15.0,92.24,3.89,-5.11,train,559.1099999999999,,2.0,11,0.006957486004542936,-0.026828352202607722,0.8640339110371842,0.1649764804779024,-0.009139525317021698,51540.0,106.35000000000015,0.010848079161816064,0.0020634458672875466,0
32,1984,63,2 - High School,6979.0,4,0,240.16,0.69097011794322,320.95,335.05,146.25,46.12,9.67,train,858.04,,2.0,15,0.05375040790639131,0.39048296116731157,0.37405016083166287,0.1704465992261433,0.01126987086849098,83748.0,592.8800000000006,0.01024549839996179,0.0070793332378086705,0
33,1989,46,3 - BSc/MSc,4252.0,4,1,-2.43999999999994,0.962048952813525,473.09,19.45,89.24,4.78,7.89,train,594.4499999999999,,3.0,10,0.00804104634536126,0.03271932038018337,0.7958448986458071,0.15012196147699555,0.01327277315165279,51024.0,571.8899999999999,0.011650399811853245,0.011208254938852302,0
34,1987,37,2 - High School,3202.0,1,1,-5.55000000000007,0.967933922447903,373.96,19.45,179.7,22.56,10.89,test,606.56,,2.0,12,0.03719335267739383,0.032066077552097075,0.6165259825903455,0.296260881034028,0.017953706146135586,38424.0,587.11,0.0157859671038934,0.015279773058505102,0
35,1979,71,3 - BSc/MSc,7323.0,3,0,336.07,0.475707149909973,320.84,123.35,131.58,40.23,72.68,test,688.6800000000001,,3.0,20,0.0584161003659174,0.1791107626183423,0.4658767497241098,0.19106116048092003,0.10553522681071034,87876.0,327.61000000000024,0.007836952068824253,0.003728094132641452,0
36,1990,50,2 - High School,4840.0,3,0,53.8,0.892859085223256,241.49,190.6,125.8,111.8,65.79,test,735.4799999999999,,2.0,9,0.15200957198020343,0.25915048675694785,0.3283433947897972,0.17104475988470116,0.08945178658835048,58080.0,656.6800000000002,0.012663223140495866,0.011306473829201105,0
37,1982,44,2 - High School,4802.0,4,1,7.24000000000001,0.941547610414098,320.95,-25.55,145.25,26.56,84.35,train,551.56,,2.0,17,0.04815432591195881,-0.04632315613895134,0.5818949887591559,0.26334396983102476,0.15292987163681196,57624.0,519.3199999999998,0.009571706233513813,0.009012217131750657,0
38,1976,61,2 - High School,6685.0,1,0,-31.78,1.0104934067975,495.87,68.9,68.57,3.0,9.78,train,646.1199999999999,,2.0,23,0.004643100352875628,0.10663653810437693,0.7674580573268125,0.10612579706556058,0.015136507150374545,80220.0,652.9000000000005,0.008054350536025927,0.00813886811269011,0
39,1985,75,2 - High School,7969.0,3,0,-14.22,0.984539039642017,104.02,142.8,357.18,53.01,40.23,train,697.24,,2.0,14,0.07602834031323503,0.20480752682003328,0.14918822786988697,0.5122769777981757,0.05769892719866903,95628.0,686.46,0.007291169950223784,0.0071784414606600585,0
40,1980,78,3 - BSc/MSc,7716.0,1,0,-1.55000000000007,0.962699624610295,334.84,63.35,207.04,17.67,5.78,train,628.68,,3.0,19,0.02810650887573965,0.10076668575427881,0.5326080040720239,0.3293249347839919,0.009193866513965771,92592.0,605.2300000000002,0.006789787454639709,0.0065365258337653385,0
41,1994,21,2 - High School,2353.0,4,1,121.36,0.843885997098729,52.01,455.65,135.47,146.36,148.03,train,937.52,,2.0,5,0.15611400290127145,0.4860162983189692,0.0554761498421367,0.14449825070398498,0.15789529823363768,28236.0,791.1600000000004,0.03320300325825187,0.02801954951126223,0
42,1988,61,3 - BSc/MSc,6511.0,1,1,402.63,0.465114824636013,265.05,270.6,130.47,108.02,25.34,train,799.4800000000001,,3.0,11,0.13511282333516783,0.3384700055035773,0.3315279931955771,0.16319357582428576,0.0316956021413919,78132.0,371.84999999999974,0.010232427174525164,0.004759253570880046,0
43,1994,48,2 - High School,4231.0,4,1,710.8,0.186709700238748,323.84,383.4,168.92,3.0,25.56,train,904.72,,2.0,5,0.0033159430542046156,0.4237775223273499,0.35794499955787423,0.1867097002387479,0.028251834821823325,50772.0,168.9200000000001,0.017819270464035294,0.003327030646813206,0
44,1994,34,2 - High School,2706.0,2,1,-77.01,1.06766848816029,159.14,249.5,284.61,52.01,23.34,test,768.6,,2.0,5,0.06766848816029143,0.324616185271923,0.2070517824616185,0.3702966432474629,0.030366900858704138,32472.0,820.609999999999,0.023669623059866963,0.0252713106676521,0
45,1985,26,3 - BSc/MSc,2129.0,1,1,-128.68,1.18714801444043,111.8,-35.0,208.26,224.71,44.23,train,554.0,amt_plob_life,3.0,14,0.40561371841155236,-0.0631768953068592,0.20180505415162453,0.3759205776173285,0.07983754512635378,25548.0,657.6799999999982,0.021684671989979646,0.025742915296696346,0
46,1991,32,3 - BSc/MSc,3874.0,3,1,624.34,0.376946622017099,139.58,540.1,180.59,106.13,75.79,train,1042.19,,3.0,8,0.10183363877987699,0.5182356384152602,0.13392951381226073,0.17327934445734464,0.07272186453525749,46488.0,392.8500000000004,0.022418473584580968,0.008450567888487361,1
47,1976,30,3 - BSc/MSc,2438.0,4,1,-94.8999999999999,1.08287096315265,269.94,300.6,143.25,59.79,69.9,train,843.48,,3.0,23,0.07088490539194764,0.35638070849338455,0.32003129890453835,0.16983212405747616,0.0828709631526533,29256.0,913.3799999999973,0.028831009023789992,0.031220262510254213,0
48,1977,78,2 - High School,8465.0,3,0,279.28,0.630943139918494,254.38,265.6,209.04,72.68,22.78,train,824.48,,2.0,22,0.08815253250533671,0.32214244129633224,0.3085338637686784,0.2535416262371434,0.02762953619250922,101580.0,520.1999999999999,0.008116558377633393,0.00512108682811577,0
49,1985,42,3 - BSc/MSc,4761.0,3,1,-132.88,1.20294980811197,468.09,-45.55,92.24,1.89,14.89,train,531.56,,3.0,14,0.0035555722778237643,-0.08569117315072616,0.8805967341410189,0.1735269771991873,0.02801188953269622,57132.0,639.4399999999987,0.009304067772876845,0.011192326542042965,0
50,1986,38,2 - High School,5319.0,1,1,-21.11,0.993551381728362,396.74,18.9,166.92,16.78,3.89,train,603.23,,2.0,13,0.027816918919814998,0.031331332990733214,0.6576927540075924,0.2767103758102216,0.006448618271637683,63828.0,599.3399999999998,0.009450867957636147,0.009389922917841697,0
51,1983,37,3 - BSc/MSc,3137.0,4,1,420.64,0.322416335963752,435.75,102.25,105.02,4.78,9.89,test,657.6899999999999,,3.0,16,0.007267861758579271,0.15546838176040384,0.6625461843725768,0.15968009244476883,0.015037479663671336,37644.0,212.05000000000004,0.017471310168951225,0.005633035809159495,0
53,1986,32,3 - BSc/MSc,3920.0,3,1,-104.21,1.14257685938513,360.4,-40.55,212.04,12.78,10.89,test,555.56,,3.0,13,0.023003815969472246,-0.07298941608467133,0.6487148102815178,0.3816689466484268,0.01960184318525452,47040.0,634.7700000000027,0.011810374149659863,0.01349426020408169,0
54,1983,36,2 - High School,2295.0,1,1,-11.3299999999999,0.982574222086249,177.59,236.7,295.61,44.12,30.45,test,784.47,,2.0,16,0.05624179382258085,0.3017323798233202,0.22638214335793594,0.37682766708733284,0.038816015908830166,27540.0,770.7999999999997,0.02848474945533769,0.027988380537400135,0
55,1993,70,3 - BSc/MSc,6881.0,3,0,264.5,0.589763210474854,305.17,157.25,227.6,12.89,2.78,train,705.6899999999999,,3.0,6,0.01826581076676728,0.22283155493205234,0.4324420071136052,0.32252122036588304,0.003939406821692244,82572.0,416.1899999999997,0.008546359540764423,0.005040328440633625,0
56,1995,50,3 - BSc/MSc,5770.0,2,1,-15.22,0.984511837833558,559.66,44.45,17.56,-1.11,10.89,test,631.4499999999999,,3.0,4,-0.001757858896191306,0.07039353868081401,0.8863092881463299,0.027809011006413812,0.017246021062633624,69240.0,621.6700000000002,0.009119728480647024,0.008978480647024844,0
57,1995,51,3 - BSc/MSc,4467.0,4,1,540.55,0.132592024539877,569.55,30.0,36.45,6.0,10.0,train,652.0,,3.0,4,0.009202453987730062,0.046012269938650305,0.873542944785276,0.055904907975460126,0.015337423312883436,53604.0,86.4499999999998,0.012163271397656892,0.0016127527796433066,0
58,1992,67,2 - High School,7076.0,4,0,294.94,0.662453578663065,207.93,452.3,155.25,69.68,62.68,train,947.84,,2.0,7,0.07351451721809589,0.47719024307900065,0.2193724679270763,0.16379346725185684,0.06612930452397028,84912.0,627.8999999999995,0.011162615413604674,0.007394714527981905,0
59,1978,60,2 - High School,5839.0,2,1,448.98,0.411234224386366,286.61,260.05,168.92,72.68,16.78,train,805.04,,2.0,21,0.09028122826194973,0.32302742720858596,0.35601957666699796,0.2098280830766173,0.020843684785849154,70068.0,331.06000000000006,0.011489410287149626,0.0047248387280927106,0
60,1997,32,2 - High School,4389.0,3,1,120.48,0.813391482811698,341.73,249.5,84.35,52.9,51.12,train,779.6,,2.0,2,0.06785531041559774,0.32003591585428426,0.4383401744484351,0.10819651103129808,0.06557208825038481,52668.0,634.1199999999998,0.014802156907420067,0.012039948355737825,0
61,1983,73,3 - BSc/MSc,8217.0,4,1,226.93,0.676564987418477,278.83,246.15,217.82,30.34,5.78,train,778.9199999999998,,3.0,16,0.038951368561598115,0.31601448158989376,0.35797000975709964,0.27964360909977926,0.007420530991629437,98604.0,526.99,0.007899476694657416,0.005344509350533447,0
62,1993,38,2 - High School,3646.0,1,1,224.5,0.676645930533955,304.17,249.5,165.81,36.34,15.78,train,771.5999999999999,,2.0,6,0.0470969414204251,0.3233540694660446,0.39420684292379476,0.21489113530326598,0.020451010886469674,43752.0,522.0999999999997,0.01763576522216127,0.011933168769427675,0
63,1981,59,3 - BSc/MSc,7524.0,3,1,-67.3200000000001,1.07828918158946,464.2,-25.55,89.24,3.89,8.78,test,540.56,,3.0,18,0.007196240935326329,-0.04726579843125648,0.8587390853929259,0.16508805682995412,0.016242415273050172,90288.0,582.8799999999984,0.005987063618642565,0.006455785929470123,0
64,1987,49,2 - High School,6518.0,4,1,314.51,0.608028539761707,364.18,343.95,86.46,23.45,48.12,train,866.16,,2.0,12,0.027073519903943844,0.39709753394292047,0.4204534958899049,0.09981989470767526,0.05555555555555555,78216.0,526.6500000000001,0.0110739490641301,0.006733277078858547,0
65,1982,43,3 - BSc/MSc,4587.0,3,0,-124.32,1.18897937438161,452.53,-45.55,104.91,17.78,-4.11,train,525.56,,3.0,17,0.03383058071390517,-0.0866694573407413,0.8610434584062714,0.19961564807062943,-0.007820229850064694,55044.0,624.8799999999989,0.00954799796526415,0.011352372647336656,0
66,1998,75,3 - BSc/MSc,7520.0,1,0,132.27,0.77988187213078,276.83,175.6,261.27,6.89,-6.11,train,714.4799999999999,,3.0,1,0.009643377001455605,0.24577314970328074,0.38745661180159,0.36567853543836076,-0.008551673944687047,90240.0,557.2099999999996,0.00791755319148936,0.006174756205673754,0
67,1984,48,3 - BSc/MSc,5087.0,3,1,-25.0,1.0,366.07,78.35,165.81,16.56,7.89,train,634.68,,3.0,15,0.026091888825865002,0.12344803680594946,0.5767788491838407,0.26124976366042735,0.012431461523917565,61044.0,634.68,0.010397090623157067,0.010397090623157067,0
68,1989,32,2 - High School,3731.0,1,1,-90.0099999999999,1.06407261760445,152.03,530.65,202.26,32.34,97.35,test,1014.63,,2.0,10,0.03187368794535939,0.5229985314843835,0.14983787193361126,0.19934360308683952,0.09594630554980633,44772.0,1079.640000000003,0.022662154918252478,0.024114178504422476,-1
69,1983,39,2 - High School,2798.0,4,1,476.65,0.32606534472567,330.73,186.7,211.15,33.784,15.78,train,723.138,,2.0,16,0.04671860696022059,0.2581803196623604,0.45735392138153436,0.2919912935013787,0.021821561029844925,33576.0,235.79024125423157,0.02153734810578985,0.007022582834591124,0
70,1989,32,3 - BSc/MSc,4238.0,4,1,316.98,0.359059899542694,384.63,-40.55,151.03,20.56,17.89,test,533.56,,3.0,10,0.038533623210135697,-0.07599895044606042,0.720874878176775,0.283060949096634,0.03352949996251593,50856.0,191.5799999999998,0.010491584080541135,0.003767107126002828,0
71,1994,64,2 - High School,6763.0,2,0,83.9000000000001,0.842201356285863,183.48,108.9,252.38,65.68,79.68,test,690.1200000000001,,2.0,5,0.09517185417028921,0.15779864371413665,0.265866805772909,0.36570451515678426,0.1154581811858807,81156.0,581.2199999999999,0.008503622652668935,0.007161762531420966,0
72,1985,27,3 - BSc/MSc,2318.0,4,1,195.82,0.715935988473809,150.03,236.7,286.61,70.79,33.23,train,777.36,,3.0,14,0.09106462900072039,0.304492127199753,0.19299938252547083,0.3686966141813317,0.04274724709272409,27816.0,556.5400000000002,0.027946505608283004,0.02000790911705494,0
73,1990,65,3 - BSc/MSc,6411.0,4,1,-25.0,1.0,213.15,217.25,242.6,56.9,59.9,train,789.8,,3.0,9,0.07204355533046342,0.27506963788300837,0.2698784502405673,0.3071663712332236,0.0758419853127374,76932.0,789.8,0.010266209119742109,0.010266209119742109,0
74,1993,60,2 - High School,4672.0,1,1,272.61,0.631031490205802,246.49,264.5,223.71,51.12,20.78,test,806.6,,2.0,6,0.0633771386064964,0.3279196627820481,0.30559137118770147,0.2773493677163402,0.025762459707413837,56064.0,508.9899999999999,0.01438712899543379,0.009078731449771688,0
75,1985,36,2 - High School,2880.0,1,1,-25.0,1.0,436.75,65.0,140.47,12.89,0.89,test,656.0,,2.0,14,0.01964939024390244,0.09908536585365854,0.6657774390243902,0.21413109756097562,0.0013567073170731709,34560.0,656.0,0.01898148148148148,0.01898148148148148,0
76,1996,60,3 - BSc/MSc,5867.0,4,1,234.83,0.66315339141257,289.5,211.7,217.82,22.67,29.67,test,771.36,,3.0,3,0.029389649450321513,0.27445032151006016,0.37531113876789046,0.2823843600912674,0.038464530180460484,70404.0,511.53000000000003,0.010956195670700528,0.007265638316004773,0
77,1996,67,3 - BSc/MSc,8391.0,4,0,747.03,0.197807564422278,183.48,471.75,190.37,43.12,73.68,test,962.4,,3.0,3,0.04480465502909393,0.49018079800498754,0.19064837905236906,0.19780756442227765,0.07655860349127183,100692.0,190.37000000000035,0.009557859611488499,0.0018906169308386003,0
78,1984,54,2 - High School,6568.0,4,1,74.4499999999999,0.85213215177828,290.61,99.45,180.59,51.9,50.01,train,672.5600000000001,,2.0,15,0.07716783632687045,0.14786784822172,0.4320952777447365,0.2685113595813013,0.07435767812537171,78816.0,573.11,0.008533292732440115,0.007271493097848153,0
79,1978,65,4 - PhD,6181.0,3,1,-50.3100000000001,1.04448076483717,429.86,-6.1,141.47,6.89,-3.11,train,569.01,,4.0,21,0.012108750285583733,-0.01072037398288255,0.7554524525052284,0.2486248044849827,-0.005465633292912251,74172.0,594.319999999998,0.007671493285876072,0.008012727174675053,0
80,1978,68,3 - BSc/MSc,7801.0,4,0,352.96,0.422679782489155,342.73,83.35,150.25,48.12,30.23,train,654.6800000000001,,3.0,21,0.07350155801307508,0.12731410765564855,0.5235076678682715,0.22950143581597113,0.04617523064703366,93612.0,276.72,0.006993547835747555,0.002956031278041277,0
81,1980,55,1 - Basic,4635.0,4,1,14.34,0.954127798507463,355.51,304.5,136.58,39.34,21.67,test,857.6,,1.0,19,0.04587220149253732,0.3550606343283582,0.41454057835820896,0.15925839552238807,0.025268190298507465,55620.0,818.2600000000003,0.01541891405969076,0.014711614527148514,0
82,1986,34,2 - High School,2861.0,3,1,274.19,0.45962396373291,368.07,-25.55,163.81,29.56,17.78,train,553.67,,2.0,13,0.05338920295482869,-0.046146621633825206,0.6647822710278686,0.29586215615800027,0.03211299149312768,34332.0,254.48000000000025,0.016126936968425955,0.007412326692298737,0
83,1992,54,2 - High School,6467.0,2,1,308.31,0.34516699410609,463.31,-65.0,104.02,0.89,5.78,train,509.0,,2.0,7,0.0017485265225933202,-0.12770137524557956,0.9102357563850688,0.20436149312377208,0.011355599214145383,77604.0,175.6899999999998,0.006558940260811298,0.0022639296943456496,0
84,1995,31,3 - BSc/MSc,3583.0,1,1,423.53,0.330352343983279,291.39,132.25,209.93,30.56,5.67,train,669.8,,3.0,4,0.0456255598686175,0.19744699910421024,0.43504031054045983,0.3134219169901463,0.00846521349656614,42996.0,221.27000000000027,0.015578193320308865,0.0051462926783886935,0
85,1997,57,2 - High School,5311.0,3,1,-47.6700000000001,1.02864688637283,238.49,221.7,244.49,22.67,64.01,train,791.36,,2.0,2,0.028646886372826526,0.28015062676910635,0.30136726647796197,0.3089491508289527,0.08088606955115245,63732.0,814.0300000000027,0.012416996171468023,0.012772704449883931,0
86,1976,48,3 - BSc/MSc,4957.0,3,0,317.83,0.608064387053995,399.63,344.5,114.91,7.0,8.67,train,874.7099999999999,,3.0,23,0.008002652307621955,0.3938448171393948,0.45687142024213745,0.13136925380983414,0.009911856501011765,59484.0,531.8799999999999,0.014704962679039741,0.008941564118082172,0
87,1994,28,3 - BSc/MSc,3261.0,4,1,-19.22,0.992902663343116,326.06,307.85,166.81,7.89,5.78,test,814.3899999999999,,3.0,5,0.009688232910521987,0.3780129913186558,0.4003732855265905,0.20482815358734763,0.007097336656884295,39132.0,808.6100000000001,0.0208113564346315,0.020663651231728513,0
88,1997,46,3 - BSc/MSc,4845.0,2,1,-46.0000000000001,1.03245749613601,581.33,55.0,17.67,-6.0,-1.0,train,647.0,,3.0,2,-0.00927357032457496,0.08500772797527048,0.8985007727975272,0.027310664605873263,-0.0015455950540958269,58140.0,667.9999999999985,0.011128310973512212,0.011489508083935304,0
89,1995,33,3 - BSc/MSc,3558.0,3,1,-139.11,1.21426693705874,193.26,-30.55,291.5,65.68,12.67,test,532.56,,3.0,4,0.12332882679885837,-0.05736442842121076,0.3628886885984678,0.54735616644134,0.02379074658254469,42696.0,646.6700000000025,0.012473299606520516,0.015145915308225653,0
90,1989,73,3 - BSc/MSc,7720.0,4,0,-54.5599999999999,1.04839633916731,216.93,48.35,315.95,12.78,16.78,train,610.79,,3.0,10,0.02092372173742203,0.07915977668265689,0.35516298564154625,0.517280898508489,0.02747261742988589,92640.0,640.3500000000012,0.006593156303972366,0.0069122409326425,0
91,1991,32,3 - BSc/MSc,2832.0,3,1,402.18,0.4047765020622,282.61,163.35,214.04,38.23,19.45,train,717.6800000000001,,3.0,8,0.053268866347118485,0.22760840486010475,0.39378274439861777,0.2982387693679634,0.027101215026195516,33984.0,290.4999999999997,0.021118173258003768,0.00854814030131826,0
